Car Company,Model name,year,fuel,seats,x change
Maruti,Maruti Swift Dzire VDI,2014,Diesel,5.0,1248
Skoda,Skoda Rapid 1.5 TDI Ambition,2014,Diesel,5.0,1498
Honda,Honda City 2017-2020 EXi,2006,Petrol,5.0,1497
Hyundai,Hyundai i20 Sportz Diesel,2010,Diesel,5.0,1396
Maruti,Maruti Swift VXI BSIII,2007,Petrol,5.0,1298
Hyundai,Hyundai Xcent 1.2 VTVT E Plus,2017,Petrol,5.0,1197
Maruti,Maruti Wagon R LXI DUO BSIII,2007,LPG,5.0,1061
Maruti,Maruti 800 DX BSII,2001,Petrol,4.0,796
Toyota,Toyota Etios VXD,2011,Diesel,5.0,1364
Ford,Ford Figo Diesel Celebration Edition,2013,Diesel,5.0,1399
Renault,Renault Duster 110PS Diesel RxL,2014,Diesel,5.0,1461
Maruti,Maruti Zen LX,2005,Petrol,5.0,993
Maruti,Maruti Swift Dzire VDi,2009,Diesel,5.0,1248
Maruti,Maruti Swift 1.3 VXi,2007,Petrol,,nan
Maruti,Maruti Wagon R LXI Minor,2009,Petrol,5.0,1061
Mahindra,Mahindra KUV 100 mFALCON G80 K8 5str,2016,Petrol,5.0,1198
Maruti,Maruti Ertiga SHVS VDI,2016,Diesel,7.0,1248
Hyundai,Hyundai i20 1.4 CRDi Asta,2012,Diesel,5.0,1396
Maruti,Maruti Alto LX,2002,Petrol,5.0,796
Hyundai,Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,Diesel,5.0,1396
Mahindra,Mahindra Verito 1.5 D4 BSIII,2011,Diesel,5.0,1461
Honda,Honda WR-V i-DTEC VX,2017,Diesel,5.0,1498
Maruti,Maruti Swift Dzire ZDI,2015,Diesel,5.0,1248
Maruti,Maruti SX4 ZDI,2012,Diesel,5.0,1248
Tata,Tata Tigor 2017-2020 XZ,2018,Petrol,5.0,1199
Maruti,Maruti Baleno Delta 1.2,2016,Petrol,5.0,1197
Maruti,Maruti Alto 800 LXI,2017,Petrol,5.0,796
Chevrolet,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,Diesel,7.0,1248
Maruti,Maruti Wagon R LXI Minor,2009,Petrol,5.0,1061
Maruti,Maruti Omni E MPI STD BS IV,2018,Petrol,8.0,796
Maruti,Maruti Vitara Brezza LDi Option,2017,Diesel,5.0,1248
