company,Model name,year,fuel,seats,engine,km_driven,mileage,max_power,torque,Insurance 
Maruti,Maruti Swift Dzire VDI,2014,Diesel,5,1248 CC,145500,23.4 kmpl,74 bhp,190Nm@ 2000rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Honda,Honda City 2017-2020 EXi,2006,Petrol,5,1498 CC,120000,21.14 kmpl,103.52 bhp,250Nm@ 1500-2500rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Hyundai,Hyundai i20 Sportz Diesel,2010,Diesel,5,1497 CC,140000,17.7 kmpl,78 bhp,"12.7@ 2,700(kgm@ rpm)","Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Swift VXI BSIII,2007,Petrol,5,1396 CC,127000,23.0 kmpl,90 bhp,22.4 kgm at 1750-2750rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Hyundai,Hyundai Xcent 1.2 VTVT E Plus,2017,Petrol,5,1298 CC,120000,16.1 kmpl,88.2 bhp,"11.5@ 4,500(kgm@ rpm)","Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Wagon R LXI DUO BSIII,2007,LPG,5,1197 CC,45000,20.14 kmpl,81.86 bhp,113.75nm@ 4000rpm,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
Maruti,Maruti 800 DX BSII,2001,Petrol,4,1061 CC,175000,17.3 km/kg,57.5 bhp,"7.8@ 4,500(kgm@ rpm)","Comapany Name:HDFC Ergo,Policy Plan:1200000"
Toyota,Toyota Etios VXD,2011,Diesel,5,796 CC,5000,16.1 kmpl,37 bhp,59Nm@ 2500rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Ford,Ford Figo Diesel Celebration Edition,2013,Diesel,5,1364 CC,90000,23.59 kmpl,67.1 bhp,170Nm@ 1800-2400rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Renault,Renault Duster 110PS Diesel RxL,2014,Diesel,5,1399 CC,169000,20.0 kmpl,68.1 bhp,160Nm@ 2000rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Zen LX,2005,Petrol,5,1461 CC,68000,19.01 kmpl,108.45 bhp,248Nm@ 2250rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Swift Dzire VDi,2009,Diesel,5,993 CC,100000,17.3 kmpl,60 bhp,78Nm@ 4500rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Swift 1.3 VXi,2007,Petrol,,1248 CC,140000,19.3 kmpl,73.9 bhp,190Nm@ 2000rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Wagon R LXI Minor,2009,Petrol,5,,80000,24.4 kmpl,,,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Mahindra,Mahindra KUV 100 mFALCON G80 K8 5str,2016,Petrol,5,1061 CC,90000,12.99 kmpl,67 bhp,84Nm@ 3500rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Ertiga SHVS VDI,2016,Diesel,7,1198 CC,40000,23.59 kmpl,82 bhp,115Nm@ 3500-3600rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Hyundai,Hyundai i20 1.4 CRDi Asta,2012,Diesel,5,1248 CC,70000,28.4 kmpl,88.5 bhp,200Nm@ 1750rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Alto LX,2002,Petrol,5,1396 CC,53000,12.8 kmpl,90 bhp,22.4 kgm at 1750-2750rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Hyundai,Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,Diesel,5,796 CC,80000,23.08 kmpl,46.3 bhp,62Nm@ 3000rpm,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
Mahindra,Mahindra Verito 1.5 D4 BSIII,2011,Diesel,5,1396 CC,100000,16.1 kmpl,88.73 bhp,219.7Nm@ 1500-2750rpm,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
Honda,Honda WR-V i-DTEC VX,2017,Diesel,5,1461 CC,100000,23.4 kmpl,64.1 bhp,160Nm@ 2000rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Swift Dzire ZDI,2015,Diesel,5,1498 CC,50000,20.14 kmpl,98.6 bhp,200Nm@ 1750rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti SX4 ZDI,2012,Diesel,5,1248 CC,40000,21.0 kmpl,74 bhp,190Nm@ 2000rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Tata,Tata Tigor 2017-2020 XZ,2018,Petrol,5,1248 CC,72000,16.1 kmpl,88.8 bhp,200Nm@ 1750rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Baleno Delta 1.2,2016,Petrol,5,1199 CC,35000,25.2 kmpl,83.81 bhp,114Nm@ 3500rpm,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
Maruti,Maruti Alto 800 LXI,2017,Petrol,5,1197 CC,45000,19.1 kmpl,83.1 bhp,115Nm@ 4000rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Wagon R LXI Minor,2009,Petrol,5,796 CC,28000,16.1 kmpl,47.3 bhp,69Nm@ 3500rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Omni E MPI STD BS IV,2018,Petrol,8,1248 CC,70000,23.1 kmpl,73.8 bhp,172.5Nm@ 1750rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Vitara Brezza LDi Option,2017,Diesel,5,1061 CC,120000,20.0 kmpl,67 bhp,84Nm@ 3500rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Omni 8 Seater BSIV,2012,Petrol,5,796 CC,25000,13.93 kmpl,34.2 bhp,59Nm@ 2500rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Hyundai,Hyundai i20 1.2 Asta Dual Tone,2018,Petrol,5,1248 CC,70000,18.16 kmpl,88.5 bhp,200Nm@ 1750rpm,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
Maruti,Maruti Vitara Brezza LDi,2017,Diesel,5,,50000,23.1 kmpl,,,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
Maruti,Maruti Alto 800 CNG LXI Optional,2019,CNG,4,796 CC,35000,15.29 kmpl,35 bhp,6.1kgm@ 3000rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Alto K10 VXI Airbag,2019,Petrol,5,1197 CC,2388,21.21 kmpl,81.83 bhp,114.7Nm@ 4000rpm,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
Hyundai,Hyundai Verna VTVT 1.6 SX Option,2019,Petrol,5,1248 CC,16200,17.6 kmpl,88.5 bhp,200Nm@ 1750rpm,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
Tata,Tata Safari DICOR 2.2 LX 4x2,2011,Diesel,7,796 CC,10000,23.0 kmpl,40.3 bhp,60Nm@ 3500rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti 800 Std,2012,Petrol,4,998 CC,15000,21.19 kmpl,67.1 bhp,90Nm@ 3500rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Honda,Honda City i VTEC VX,2018,Petrol,5,1591 CC,5000,22.54 kmpl,121.3 bhp,151Nm@ 4850rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Honda,Honda City V MT,2013,Petrol,5,1198 CC,42000,23.8 kmpl,67 bhp,104Nm@ 4000rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Swift Dzire VXi AT,2018,Petrol,5,2179 CC,60000,15.96 kmpl,138.03 bhp,320Nm@ 1700-2700rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Vitara Brezza VDi,2018,Diesel,5,796 CC,76000,20.45 kmpl,37 bhp,59Nm@ 2500rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Alto K10 VXI,2018,Petrol,5,1368 CC,5000,20.4 kmpl,160.77 bhp,250Nm@ 1750-2500rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Toyota,Toyota Fortuner 4x4 MT,2014,Diesel,7,1497 CC,28900,22.5 kmpl,117.3 bhp,145Nm@ 4600rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Toyota,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,Diesel,7,1497 CC,86300,12.99 kmpl,116.3 bhp,146Nm@ 4800rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Mercedes-Benz,Mercedes-Benz B Class B180,2014,Diesel,5,1197 CC,23300,18.6 kmpl,83.14 bhp,115Nm@ 4000rpm,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
Honda,Honda Amaze S Diesel,2015,Diesel,5,1248 CC,32600,12.99 kmpl,88.5 bhp,200Nm@ 1750rpm,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
Honda,Honda City i DTEC S,2015,Diesel,5,998 CC,10300,27.39 kmpl,67.05 bhp,90Nm@ 3500rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Ciaz Zeta,2018,Petrol,5,2982 CC,77000,19.6 kmpl,168.5 bhp,343Nm@ 1400-3400rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Honda,Honda Jazz VX Diesel,2015,Diesel,5,2494 CC,99000,18.2 kmpl,100 bhp,200Nm@ 1400-3400rpm,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Toyota,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,Diesel,7,2143 CC,27800,23.65 kmpl,120.7 bhp,200Nm@ 1250-4000rpm,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
