Insurance_id,Insurance
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
7,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
7,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
7,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
7,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
7,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
7,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
7,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
7,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
7,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
7,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
